,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,type,city
0,1,1,4.1,775,1,24,1908,800.0,0,1
1,1,0,4.1,787,1,24,820,800.0,0,1
2,1,0,3.8,918,1,19,657,800.0,0,1
3,0,0,3.7,88,1,73,2236,300.0,0,1
4,0,0,3.8,166,4,24,1935,600.0,0,1
5,1,0,3.8,286,4,24,1597,600.0,0,1
6,0,0,3.6,8,56,24,1952,800.0,0,1
7,1,1,4.6,2556,1,26,2043,600.0,1,1
8,1,0,4.0,324,1,16,633,700.0,1,1
9,1,0,4.2,504,1,16,658,550.0,1,1
10,1,0,4.1,402,1,16,479,500.0,1,1
11,1,1,4.2,150,1,16,633,600.0,1,1
12,1,1,4.2,164,1,16,536,500.0,1,1
13,0,0,4.0,424,1,16,542,450.0,1,1
14,1,0,3.8,918,1,19,657,800.0,1,1
15,1,0,3.8,90,1,16,479,650.0,1,1
16,1,0,3.9,133,1,16,608,800.0,1,1
17,1,0,3.8,144,1,16,724,700.0,1,1
18,0,0,3.9,93,1,16,627,300.0,1,1
19,1,0,3.1,13,1,16,536,400.0,1,1
20,1,0,3.0,62,1,16,615,400.0,1,1
21,1,0,3.7,180,1,16,672,500.0,1,1
22,0,0,3.6,28,1,16,601,900.0,1,1
23,1,0,3.6,62,1,76,1350,600.0,1,1
24,0,0,3.7,31,1,16,479,300.0,1,1
25,0,0,3.2,11,1,16,500,600.0,1,1
26,1,0,3.8,75,1,23,684,200.0,1,1
27,0,0,3.3,4,1,16,602,500.0,1,1
28,0,0,3.3,23,1,16,601,550.0,1,1
29,0,0,3.8,148,4,26,1659,550.0,1,1
30,1,0,4.0,219,4,16,626,600.0,1,1
31,1,0,2.8,506,1,73,1841,500.0,2,1
32,1,0,3.9,35,1,36,230,500.0,2,1
33,1,0,3.9,172,1,36,2033,750.0,2,1
34,1,0,4.2,415,1,73,1649,500.0,2,1
35,1,0,3.9,230,1,36,335,650.0,2,1
36,1,0,2.8,91,1,73,1714,400.0,2,1
37,1,0,4.2,1647,1,24,849,600.0,2,1
38,1,0,4.4,4884,31,24,1929,750.0,2,1
39,1,0,4.0,17,1,73,2164,150.0,2,1
40,1,0,3.8,133,4,73,2310,200.0,2,1
41,0,0,3.9,28,1,62,2164,300.0,2,1
42,1,0,3.9,286,1,73,461,500.0,2,1
43,1,0,3.9,540,1,73,2049,800.0,2,1
44,1,1,4.6,2556,1,26,2043,600.0,2,1
45,0,0,3.8,36,1,36,1819,400.0,2,1
46,1,0,3.6,244,48,73,1662,300.0,2,1
47,1,0,4.0,804,48,24,1693,450.0,2,1
48,1,0,3.7,679,67,24,843,850.0,2,1
49,1,0,3.1,245,48,73,1747,300.0,2,1
50,0,0,3.7,21,1,73,1597,450.0,2,1
51,1,0,4.1,28,86,73,1207,150.0,2,1
52,0,0,4.3,345,1,37,1310,400.0,2,1
53,1,0,4.0,618,31,24,408,750.0,2,1
54,0,0,4.0,1047,1,73,1345,450.0,2,1
55,1,0,3.9,627,1,36,1264,450.0,2,1
56,1,0,3.8,104,1,73,369,300.0,2,1
57,1,1,4.2,354,1,24,190,800.0,2,1
58,0,0,3.6,55,1,73,1120,200.0,2,1
59,1,0,3.7,17,1,37,1047,400.0,2,1
60,0,0,4.2,244,1,24,1365,800.0,2,1
61,1,1,3.6,163,48,24,1253,800.0,2,1
62,1,0,3.8,58,4,73,704,150.0,2,1
63,0,1,4.0,808,1,24,1662,850.0,2,1
64,0,0,3.7,78,1,3,222,150.0,2,1
65,1,0,4.1,1720,4,73,1874,400.0,2,1
66,1,0,3.6,34,31,73,2164,100.0,2,1
67,0,0,4.1,868,1,68,964,1200.0,2,1
68,0,0,3.8,39,1,0,230,300.0,2,1
69,1,0,3.2,71,4,73,462,600.0,2,1
70,1,0,3.6,6,1,86,1360,500.0,2,1
71,0,0,4.1,520,1,73,357,300.0,2,1
73,0,0,2.9,84,1,36,731,700.0,2,1
74,0,0,3.6,299,1,73,1192,300.0,2,1
76,1,0,4.1,558,4,73,2164,150.0,2,1
77,1,0,3.6,28,1,73,433,300.0,2,1
78,0,0,3.7,22,1,73,1098,500.0,2,1
79,0,0,3.8,39,1,73,2199,350.0,2,1
80,1,0,3.8,153,86,46,2151,500.0,2,1
81,1,0,4.2,146,1,11,292,400.0,2,1
82,0,0,3.5,14,1,83,1541,200.0,2,1
83,0,0,3.8,42,1,24,1662,700.0,2,1
85,0,0,4.0,66,1,0,230,300.0,2,1
86,1,0,4.4,4401,31,24,406,600.0,2,1
87,0,0,3.5,31,1,73,1597,200.0,2,1
88,0,0,3.5,7,1,37,1041,500.0,2,1
89,0,0,3.7,21,1,73,335,250.0,2,1
93,0,0,3.2,9,1,37,1303,300.0,2,1
94,0,0,2.6,283,1,24,1597,600.0,2,1
95,0,0,3.3,62,1,6,2239,800.0,2,1
96,0,0,3.8,64,1,73,1105,250.0,2,1
97,0,0,3.7,39,1,24,1858,950.0,2,1
98,0,0,3.7,65,1,73,1206,300.0,2,1
99,1,0,3.8,71,4,37,1313,400.0,2,1
100,0,0,3.5,52,1,73,2164,300.0,2,1
101,0,0,3.7,130,1,73,2164,200.0,2,1
102,0,0,3.5,10,1,73,2175,300.0,2,1
103,0,0,3.8,45,1,86,222,400.0,2,1
104,0,0,3.2,11,1,16,500,600.0,2,1
105,0,0,3.5,13,1,0,230,300.0,2,1
106,0,0,3.4,8,1,73,409,300.0,2,1
108,0,0,3.2,9,1,73,335,300.0,2,1
109,0,0,3.2,4,1,73,1597,300.0,2,1
111,0,0,3.1,29,1,73,1597,150.0,2,1
112,0,0,3.4,8,1,0,230,400.0,2,1
119,0,0,3.1,30,1,6,782,1000.0,2,1
120,1,0,4.1,201,1,73,2253,300.0,2,1
121,0,0,3.3,7,1,73,1506,200.0,2,1
122,0,0,3.1,6,1,73,1202,100.0,2,1
123,0,0,3.3,17,1,73,2310,200.0,2,1
124,0,0,2.9,25,1,37,1310,200.0,2,1
127,0,0,3.3,8,1,36,2164,100.0,2,1
145,1,0,4.0,771,1,24,2239,450.0,2,1
146,0,0,3.0,98,1,6,1662,800.0,2,1
147,1,0,3.9,47,4,73,2164,200.0,2,1
148,1,1,4.1,175,31,24,2241,500.0,2,1
149,1,0,3.8,58,1,73,2203,300.0,2,1
150,1,0,3.8,540,4,24,1872,650.0,2,1
151,1,0,3.8,124,48,73,807,400.0,2,1
152,1,0,4.1,340,1,86,1918,500.0,2,1
153,1,0,3.8,505,1,73,461,450.0,2,1
155,1,0,4.1,438,31,37,1066,500.0,2,1
156,1,0,3.7,264,56,24,1687,750.0,2,1
157,1,0,3.9,169,48,11,314,150.0,2,1
158,1,0,3.0,67,48,73,1662,250.0,2,1
159,1,0,3.7,97,31,73,1908,350.0,2,1
160,1,0,3.3,12,4,86,335,300.0,2,1
161,1,0,3.3,12,1,73,335,300.0,2,1
162,1,0,3.6,195,31,24,829,800.0,2,1
163,1,0,3.3,13,4,44,1071,300.0,2,1
164,1,0,4.6,228,31,16,510,400.0,2,1
165,1,0,4.1,70,4,73,2191,150.0,2,1
166,1,1,4.1,364,31,24,2362,1200.0,2,1
167,1,0,3.7,107,4,11,304,150.0,2,1
168,1,0,3.2,167,48,73,2247,300.0,2,1
169,1,0,4.0,115,1,83,1541,400.0,2,1
170,1,0,3.7,27,1,86,1368,400.0,2,1
171,1,0,3.5,57,1,73,335,200.0,2,1
172,1,0,3.8,120,1,73,1844,250.0,2,1
173,1,0,3.8,15,4,0,222,400.0,2,1
174,1,0,4.2,64,4,73,2106,500.0,2,1
